Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.01,0.05,0.01,0.01,0.08
Metal Gear Solid V: Ground Zeroes,X360,2014,Action,Konami Digital Entertainment,0.07,0.06,0.01,0.01,0.15
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.08,0.01,0.01,0.18
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.04,0.01,0.08
Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13
LEGO Ninjago: Shadow of Ronin,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.05,0.1,0.04,0.01,0.21
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.05,0.01,0.09
MegaTagmension Blanc + Neptune VS Zombies,PSV,2015,Action,Idea Factory International,0.02,0.03,0.05,0.01,0.12
Deception IV: Blood Ties,PS3,2014,Action,Tecmo Koei,0.02,0.02,0.06,0.01,0.12
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.11
Resident Evil: Revelations 2,PSV,2015,Action,Capcom,0.01,0.05,0.06,0.01,0.13
Senran Kagura 2: Deep Crimson,3DS,2014,Action,Marvelous Entertainment,0.09,0.03,0.08,0.01,0.21
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo,0.03,0.11,0.1,0.01,0.26
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016,Action,Nintendo,0.04,0.16,0.24,0.01,0.46
Transformer: Rise of the Dark Spark,PS3,2014,Action,Activision,0.04,0.05,0.01,0.02,0.13
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.02,0.06,0.01,0.02,0.12
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.02,0.07,0.01,0.02,0.12
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14
Murdered: Soul Suspect,PS3,2014,Action,Square Enix,0.05,0.06,0.02,0.02,0.15
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.07,0.04,0.03,0.02,0.16
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.02,0.18
Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Action,Xseed Games,0.04,0.01,0.04,0.02,0.11
Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,0.03,0.03,0.07,0.02,0.14
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.02,0.06,0.11,0.02,0.2
Godzilla (2015),PS4,2014,Action,Namco Bandai Games,0.1,0.03,0.02,0.03,0.18
One Piece: Unlimited World Red,PSV,2014,Action,Namco Bandai Games,0.06,0.04,0.04,0.03,0.17
Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,Idea Factory International,0.07,0.02,0.06,0.03,0.17
Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24
